,Time,Topics,pos/neu/neg
165,2021-12-01 16:12:20+00:00,news,neutral
166,2021-12-01 16:11:30+00:00,news,neutral
167,2021-12-01 16:11:13+00:00,vaccine effects,negative
168,2021-12-01 16:11:03+00:00,news,neutral
169,2021-12-01 16:10:42+00:00,pro vax,positive
170,2021-12-01 16:10:25+00:00,news,neutral
172,2021-12-01 16:09:49+00:00,news,neutral
173,2021-12-01 16:09:40+00:00,news,neutral
174,2021-12-01 16:09:28+00:00,news,neutral
175,2021-12-01 16:09:15+00:00,news,neutral
176,2021-12-01 16:09:08+00:00,news,positive
177,2021-12-01 16:09:03+00:00,news,neutral
178,2021-12-01 16:09:00+00:00,news,neutral
179,2021-12-01 16:08:45+00:00,vaccine effects,negative
180,2021-12-01 16:08:38+00:00,news,neutral
181,2021-12-01 16:08:28+00:00,news,neutral
182,2021-12-01 16:08:03+00:00,news,neutral
183,2021-12-01 16:07:59+00:00,news,neutral
184,2021-12-01 16:07:24+00:00,pro vax,positive
185,2021-12-01 16:07:00+00:00,news,positive
186,2021-12-01 16:06:57+00:00,news,neutral
187,2021-12-01 16:06:48+00:00,news,neutral
188,2021-12-01 16:06:48+00:00,vaccine effects,negative
189,2021-12-01 16:06:31+00:00,anti vaccine,negative
190,2021-12-01 16:06:25+00:00,news,neutral
191,2021-12-01 16:06:14+00:00,news,neutral
192,2021-12-01 16:05:36+00:00,vaccine effects,negative
193,2021-12-01 16:05:36+00:00,news,neutral
195,2021-12-01 16:05:02+00:00,vaccine effects,negative
196,2021-12-01 16:05:00+00:00,news,negative
197,2021-12-01 16:04:49+00:00,news,neutral
198,2021-12-01 16:04:44+00:00,news,neutral
199,2021-12-01 16:04:22+00:00,news,neutral
200,2021-12-01 16:03:34+00:00,news,neutral
201,2021-12-01 16:03:14+00:00,news,neutral
202,2021-12-01 16:03:01+00:00,news,neutral
203,2021-12-01 16:02:42+00:00,news,neutral
204,2021-12-01 16:02:13+00:00,news,positive
205,2021-12-01 16:01:58+00:00,pro vax,positive
206,2021-12-01 16:01:56+00:00,news,neutral
211,2021-12-01 16:01:12+00:00,news,neutral
212,2021-12-01 16:00:57+00:00,news,neutral
213,2021-12-01 16:00:51+00:00,news,positive
